Superonline_P;Afghanistan - Mobile AWCC;471
Superonline_P;Afghanistan - Mobile Etisalat;832
Superonline_P;Afghanistan - Mobile MTN;1173
Superonline_P;Afghanistan - Mobile Roshan;781
Superonline_P;Algeria - Mobile Djezzy;458
Superonline_P;Algeria - Mobile Ooredoo;328
Superonline_P;Algeria - Mobile Others;480
Superonline_P;Azerbaijan - Fixed;90
Superonline_P;Azerbaijan - Fixed Baku;240
Superonline_P;Inmarsat - BGAN SNAC;57
Superonline_P;International - Networks AeroMobile;6
Superonline_P;Iran - Fixed;741
Superonline_P;Iran - Fixed Tehran;1093
Superonline_P;Iran - Mobile;12529
Superonline_P;Iran - Mobile MTN;2882
Superonline_P;Iraq - Cities;9
Superonline_P;Iraq - Mobile AsiaCell;79
Superonline_P;Iraq - Mobile Korek;638
Superonline_P;Iraq - Mobile MOBITEL;1
Superonline_P;Iraq - Mobile Zain;245
Superonline_P;Iridium;6
Superonline_P;Jordan - Amman;63
Superonline_P;Jordan - Mobile Fastlink;401
Superonline_P;Jordan - Mobile Mobilecom;73
Superonline_P;Jordan - Mobile Umniah;89
Superonline_P;Lebanon - Fixed;94
Superonline_P;Lebanon - Mobile;523
Superonline_P;Libya - Fixed;13
Superonline_P;Libya - Mobile Almadar;780
Superonline_P;Libya - Mobile Libyana;269
Superonline_P;Saudi Arabia - Fixed;20
Superonline_P;Saudi Arabia - Fixed Riyad;94
Superonline_P;Saudi Arabia - Fixed RIYADH;111
Superonline_P;Saudi Arabia - Mobile Mobily;10094
Superonline_P;Saudi Arabia - Mobile Others;52
Superonline_P;Saudi Arabia - Mobile STC;5004
Superonline_P;Saudi Arabia - Mobile Virgin;26
Superonline_P;Saudi Arabia - Mobile ZAIN;2757
Superonline_P;Syria - Mobile;200
Superonline_P;Syria - Mobile MTN;497
Superonline_P;Thuraya - Satellite Telecom;50
Superonline_P;Turkmenistan - Fixed;928
Superonline_P;Turkmenistan - Mobile;2034
Superonline_P;United Arab Emirates - Dubai;381
Superonline_P;United Arab Emirates - Fixed;185
Superonline_P;United Arab Emirates - Fixed Sanacom;59
Superonline_P;United Arab Emirates - Mobile DU;1539
Superonline_P;United Arab Emirates - Mobile Etisalat;5560
Superonline_P;United Arab Emirates - Mobile Others;343
Superonline_P;Yemen - Fixed;16
Superonline_P;Yemen - Mobile;5
Superonline_P;Yemen - Mobile MTN;50
Superonline_P;Yemen - Mobile Sabafon;27
Superonline_P;Yemen - Mobile Yementel;113
